companiesName,sectorKey,dealsPrice
Ac Fermentum Vel Ltd,Varejo,100.0
Ante Ltd,Tecnologia,100.0
Ante Maecenas Mi Limited,Serviços,100.0
At Velit Limited,Bens de Consumo,100.0
Auctor Corp.,Indústria,100.0
Auctor Foundation,Atacado,100.0
Class LLP,Varejo,100.0
Commodo Tincidunt Nibh Limited,Indústria,100.0
Cras Institute,Varejo,100.0
Diam Nunc Ullamcorper Limited,Serviços,100.0
Dictum Sapien Aenean Incorporated,Varejo,100.0
Dolor LLP,Serviços,100.0
Enim LLC,Tecnologia,100.0
Eros Corp.,Serviços,100.0
Et Foundation,Serviços,44.485488126649074
Et Foundation,Varejo,55.514511873350926
Feugiat Tellus LLP,Atacado,100.0
Hendrerit Consectetuer Ltd,Tecnologia,100.0
Imperdiet Limited,Bens de Consumo,100.0
In Sodales Elit Incorporated,Indústria,100.0
Laoreet Lectus Quis Foundation,Tecnologia,100.0
Lectus LLP,Atacado,100.0
Luctus Limited,Tecnologia,100.0
Magna Inc.,Atacado,100.0
Morbi Accumsan PC,Serviços,100.0
Nec Ante Inc.,Atacado,100.0
Nec Mauris Blandit Corporation,Tecnologia,100.0
Nec Metus Facilisis Associates,Serviços,100.0
Neque Venenatis Consulting,Indústria,100.0
Nibh Inc.,Bens de Consumo,100.0
Non Ante Bibendum Associates,Varejo,100.0
Nulla Dignissim Maecenas Company,Indústria,100.0
Nunc Consulting,Serviços,100.0
Nunc Institute,Serviços,100.0
Orci Consectetuer Foundation,Serviços,100.0
Ornare Consulting,Bens de Consumo,100.0
Pede Nec Ante Inc.,Varejo,100.0
Phasellus Corporation,Serviços,100.0
Phasellus Elit Corporation,Bens de Consumo,100.0
Sagittis Lobortis Company,Indústria,100.0
Sed Dui Fusce Consulting,Atacado,100.0
Sed LLC,Varejo,100.0
Senectus Limited,Indústria,100.0
Tellus Inc.,Atacado,100.0
Tortor Corp.,Serviços,100.0
Ullamcorper Magna Corp.,Atacado,100.0
Ut Company,Serviços,100.0
Vulputate Corporation,Tecnologia,100.0
